epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6516,1.36418,1.22342,1.1214,0.92063,0.89813,0.9475,0.59198,1.2432,0.74869,1.0778,0.000664502,0.000664502,0.000664502
2,80.8459,1.30654,0.81836,1.10211,0.92678,0.8989,0.94988,0.59854,1.27975,0.68497,1.11838,0.00130481,0.00130481,0.00130481
3,119.838,1.29498,0.76227,1.10408,0.91483,0.85895,0.9358,0.61322,1.25957,0.7089,1.12688,0.00191872,0.00191872,0.00191872
4,158.098,1.27957,0.73181,1.10002,0.94362,0.90232,0.95855,0.63427,1.22659,0.61235,1.10073,0.0018812,0.0018812,0.0018812
5,196.563,1.27235,0.70514,1.09869,0.93241,0.90092,0.95668,0.61931,1.22551,0.65906,1.09837,0.0018416,0.0018416,0.0018416
6,234.619,1.25351,0.68512,1.09179,0.92797,0.90708,0.95536,0.6262,1.21265,0.60471,1.09556,0.001802,0.001802,0.001802
7,272.92,1.23325,0.66501,1.08763,0.94248,0.90478,0.96215,0.63525,1.20636,0.5882,1.09955,0.0017624,0.0017624,0.0017624
8,310.585,1.2288,0.65177,1.07809,0.94235,0.91089,0.96412,0.64526,1.20927,0.56525,1.09173,0.0017228,0.0017228,0.0017228
9,349.373,1.21665,0.63577,1.07628,0.94288,0.91773,0.96821,0.6543,1.17601,0.54699,1.07613,0.0016832,0.0016832,0.0016832
10,387.081,1.21599,0.63157,1.07635,0.94081,0.92,0.96838,0.64817,1.20099,0.54321,1.09726,0.0016436,0.0016436,0.0016436
11,425.289,1.19894,0.61699,1.07087,0.93395,0.91394,0.96574,0.6475,1.18378,0.55713,1.08845,0.001604,0.001604,0.001604
12,463.55,1.20541,0.61518,1.07336,0.94258,0.92212,0.96848,0.65388,1.17359,0.5562,1.07636,0.0015644,0.0015644,0.0015644
13,499.616,1.187,0.59686,1.06441,0.95022,0.91946,0.96885,0.65771,1.1737,0.52547,1.08202,0.0015248,0.0015248,0.0015248
14,534.242,1.18743,0.59653,1.06649,0.94341,0.93374,0.97151,0.65747,1.16639,0.51288,1.07425,0.0014852,0.0014852,0.0014852
15,568.842,1.18405,0.59034,1.06485,0.95204,0.91813,0.96997,0.65143,1.19357,0.52066,1.09614,0.0014456,0.0014456,0.0014456
16,603.735,1.18129,0.58079,1.05975,0.94514,0.92784,0.97032,0.66158,1.16092,0.51474,1.0744,0.001406,0.001406,0.001406
17,638.437,1.16605,0.56915,1.05776,0.95289,0.92517,0.97179,0.66067,1.16349,0.51179,1.08041,0.0013664,0.0013664,0.0013664
18,673.038,1.16587,0.56648,1.0538,0.94442,0.93869,0.97439,0.66327,1.16062,0.49731,1.07573,0.0013268,0.0013268,0.0013268
19,707.719,1.15671,0.55988,1.05026,0.95004,0.93417,0.97512,0.6696,1.1502,0.49388,1.06918,0.0012872,0.0012872,0.0012872
20,742.306,1.14959,0.5563,1.05412,0.94716,0.9317,0.97516,0.66644,1.15745,0.49162,1.08013,0.0012476,0.0012476,0.0012476
21,777.086,1.14877,0.55232,1.04679,0.94928,0.93369,0.97587,0.66957,1.16203,0.48471,1.07663,0.001208,0.001208,0.001208
22,811.751,1.14219,0.54732,1.04624,0.95281,0.93423,0.97408,0.67021,1.15058,0.48263,1.0737,0.0011684,0.0011684,0.0011684
23,846.426,1.13357,0.54271,1.04454,0.94517,0.93964,0.975,0.68142,1.1392,0.47472,1.06687,0.0011288,0.0011288,0.0011288
24,881.087,1.13363,0.53523,1.04341,0.94726,0.93469,0.97413,0.67475,1.13313,0.47412,1.06393,0.0010892,0.0010892,0.0010892
25,915.848,1.13653,0.53825,1.04595,0.953,0.93037,0.97371,0.66202,1.16491,0.49452,1.08193,0.0010496,0.0010496,0.0010496
26,950.496,1.13074,0.53314,1.04006,0.94758,0.93926,0.9746,0.67323,1.1496,0.47556,1.07104,0.00101,0.00101,0.00101
27,985.098,1.12116,0.52257,1.03769,0.94904,0.93641,0.97505,0.67776,1.13439,0.47389,1.06487,0.0009704,0.0009704,0.0009704
28,1019.76,1.11159,0.52585,1.03872,0.95392,0.94021,0.97608,0.67934,1.14287,0.4683,1.0743,0.0009308,0.0009308,0.0009308
29,1054.35,1.11544,0.5195,1.03758,0.94727,0.94117,0.97682,0.67968,1.13104,0.462,1.06685,0.0008912,0.0008912,0.0008912
30,1089.14,1.10856,0.51827,1.03489,0.95659,0.93926,0.97719,0.68036,1.131,0.4573,1.06486,0.0008516,0.0008516,0.0008516
31,1123.79,1.1123,0.51317,1.03449,0.94961,0.94364,0.97693,0.67447,1.13788,0.45799,1.0696,0.000812,0.000812,0.000812
32,1158.4,1.09565,0.50919,1.02962,0.94956,0.94383,0.9785,0.67802,1.13403,0.45789,1.06545,0.0007724,0.0007724,0.0007724
33,1193.07,1.09955,0.5055,1.03176,0.95119,0.94307,0.9771,0.67474,1.13735,0.45704,1.06927,0.0007328,0.0007328,0.0007328
34,1227.75,1.09516,0.50135,1.02847,0.95594,0.94185,0.9776,0.67873,1.12964,0.4548,1.06169,0.0006932,0.0006932,0.0006932
35,1262.56,1.08447,0.49623,1.01862,0.95377,0.95073,0.97779,0.68257,1.12832,0.44653,1.0614,0.0006536,0.0006536,0.0006536
36,1297.25,1.08932,0.49774,1.02274,0.95227,0.94581,0.97767,0.67907,1.12972,0.44655,1.06416,0.000614,0.000614,0.000614
37,1331.9,1.08513,0.49047,1.01738,0.94793,0.94973,0.97823,0.68512,1.12006,0.44227,1.05731,0.0005744,0.0005744,0.0005744
38,1366.54,1.0747,0.48374,1.02032,0.95434,0.94554,0.97796,0.68088,1.12731,0.44251,1.06196,0.0005348,0.0005348,0.0005348
39,1401.17,1.06595,0.4801,1.01463,0.95486,0.94238,0.97895,0.68063,1.13213,0.44084,1.06711,0.0004952,0.0004952,0.0004952
40,1435.97,1.06512,0.47944,1.01345,0.95544,0.9425,0.97897,0.68323,1.1304,0.43757,1.06397,0.0004556,0.0004556,0.0004556
41,1470.65,1.05382,0.43637,1.02043,0.95157,0.95069,0.97816,0.68735,1.12385,0.43987,1.06233,0.000416,0.000416,0.000416
42,1504.78,1.0423,0.42761,1.0177,0.95419,0.94764,0.97914,0.68953,1.11952,0.43449,1.05801,0.0003764,0.0003764,0.0003764
43,1538.88,1.0342,0.42513,1.011,0.9525,0.94694,0.97822,0.69052,1.11497,0.43335,1.05994,0.0003368,0.0003368,0.0003368
44,1573.13,1.02464,0.41793,1.01154,0.95262,0.94612,0.97945,0.69196,1.11454,0.42979,1.0594,0.0002972,0.0002972,0.0002972
45,1607.17,1.02239,0.41536,1.01165,0.95296,0.94896,0.97985,0.68951,1.12176,0.43272,1.06109,0.0002576,0.0002576,0.0002576
46,1641.21,1.01424,0.40986,1.00659,0.9514,0.94745,0.97871,0.68893,1.12385,0.43261,1.06384,0.000218,0.000218,0.000218
47,1675.24,1.00889,0.40804,1.00255,0.95242,0.94992,0.97926,0.68912,1.12052,0.4272,1.06071,0.0001784,0.0001784,0.0001784
48,1709.37,1.00249,0.40468,0.99692,0.95763,0.94307,0.97893,0.69014,1.11813,0.42799,1.05942,0.0001388,0.0001388,0.0001388
49,1743.45,0.99417,0.39937,0.99586,0.95425,0.94593,0.97924,0.69037,1.11687,0.42606,1.05943,9.92e-05,9.92e-05,9.92e-05
50,1777.5,0.99566,0.39903,0.99686,0.94938,0.94986,0.98014,0.69053,1.1177,0.42576,1.06124,5.96e-05,5.96e-05,5.96e-05
